,id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
17644,557104283273662629,3,1,0,2022-03-01,2023-02-21,5.0,5.0,5.0,5.0,5.0,4.67,5.0,0.13
17645,562877416564216834,14,2,0,2022-02-28,2023-02-12,5.0,5.0,5.0,5.0,5.0,5.0,4.93,0.63
17646,557104378881743895,1,0,0,2022-03-01,2022-03-01,5.0,5.0,5.0,5.0,5.0,3.0,5.0,0.04
17647,558063117557594607,35,31,2,2022-12-10,2023-12-28,4.92,4.89,4.92,5.0,5.0,4.33,4.86,2.72
17648,562934727437271285,15,9,0,2022-03-02,2023-10-15,4.07,4.47,4.27,4.33,4.2,4.27,4.0,0.68
17649,557212937817690292,10,10,0,2023-02-21,2023-11-19,5.0,5.0,4.9,5.0,5.0,4.9,4.8,0.97
17650,562950486989426910,10,6,0,2022-08-01,2023-09-03,5.0,5.0,4.9,5.0,4.9,5.0,4.7,0.58
17651,557256958161796077,53,23,3,2022-03-29,2023-12-22,4.92,4.89,4.89,4.94,4.94,4.91,4.91,2.49
17652,558135166361121555,6,1,0,2022-03-05,2023-03-26,4.67,4.83,4.0,5.0,5.0,5.0,5.0,0.27
17653,558409551819597038,29,17,1,2022-04-05,2023-12-03,4.87,4.93,4.97,4.93,5.0,4.97,4.8,1.37
17654,558452139938631314,16,6,0,2022-03-05,2023-11-22,4.81,5.0,5.0,5.0,4.88,4.88,4.63,0.72
17655,562950712177824882,22,8,1,2022-03-05,2023-12-05,4.5,4.64,4.64,4.5,4.73,4.95,4.23,1.0
17656,562963466458136727,5,0,0,2022-03-02,2022-09-12,4.4,4.2,4.2,4.8,4.6,4.4,4.8,0.23
17657,558497489794895796,9,6,0,2022-03-28,2023-11-16,4.78,4.67,4.78,5.0,4.89,5.0,4.67,0.42
17658,565194972409079611,38,20,1,2022-03-03,2023-12-08,4.71,4.79,4.61,4.58,4.79,4.82,4.58,1.72
17659,562975267456201986,16,10,0,2022-03-14,2023-11-18,4.63,4.5,4.69,4.81,4.75,4.88,4.5,0.73
17660,565196414613652563,0,0,0,,,,,,,,,,
17661,565211154470631477,41,24,2,2022-03-03,2023-12-23,4.9,4.78,4.88,4.8,4.85,4.95,4.8,1.85
17662,562986262687240142,19,8,1,2022-02-21,2023-12-20,4.58,4.63,4.68,4.58,4.58,4.63,4.42,0.85
17663,565231480820738133,1,0,0,2022-09-05,2022-09-05,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06
17664,558517161719602711,15,9,0,2022-02-13,2023-11-20,4.73,4.67,4.4,4.87,4.93,4.93,4.6,0.66
17665,562999188194241888,23,16,2,2022-02-20,2023-12-22,4.91,4.95,4.91,4.77,4.95,5.0,4.86,1.02
17666,565262152571458521,3,0,0,2022-08-23,2022-10-23,4.67,4.67,4.67,5.0,4.67,5.0,4.67,0.18
17667,563015451394968279,16,8,0,2022-03-20,2023-10-25,4.81,4.75,4.81,4.94,4.88,5.0,4.81,0.74
17668,565276519603159107,36,21,1,2022-03-27,2023-12-12,5.0,4.97,4.94,5.0,5.0,5.0,4.89,1.68
17669,565291072454597213,26,20,1,2022-07-11,2023-12-05,4.73,4.77,4.81,4.73,4.81,4.96,4.69,1.46
17670,565300232825329355,3,0,0,2022-04-23,2022-11-15,5.0,5.0,4.67,5.0,5.0,5.0,5.0,0.15
17671,565331203965748931,0,0,0,,,,,,,,,,
17672,558534714633291345,5,3,1,2022-03-01,2023-11-30,4.8,4.8,4.6,4.8,4.8,4.8,4.6,0.22
17673,558535238462701324,1,0,0,2022-09-12,2022-09-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06
17674,558551397308537760,55,23,1,2022-02-13,2023-12-02,4.91,4.82,4.82,4.95,4.95,4.96,4.76,2.42
17675,558579717971645011,0,0,0,,,,,,,,,,
17676,558611097677829546,11,7,1,2022-07-31,2023-12-14,4.64,4.73,4.82,4.91,4.64,4.64,4.73,0.64
17677,563065051171119795,1,1,0,2023-01-02,2023-01-02,1.0,4.0,3.0,3.0,1.0,5.0,1.0,0.08
17678,563072895004299389,33,15,0,2022-02-21,2023-11-14,4.58,4.73,4.76,4.64,4.73,4.64,4.55,1.46
17679,558613476084057959,21,18,2,2022-09-12,2023-12-05,4.9,4.9,4.86,4.86,5.0,4.76,4.76,1.34
17680,565364001479899347,7,5,0,2022-04-12,2023-08-21,4.71,4.71,4.29,4.86,4.0,5.0,4.29,0.34
17681,563110481694055260,6,2,0,2022-03-01,2023-11-06,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.27
17682,565368349892469770,18,11,0,2022-02-28,2023-11-19,4.89,4.78,5.0,5.0,4.78,4.94,4.72,0.81
17683,558679595451757268,118,75,7,2022-02-28,2023-12-11,4.96,4.98,4.95,4.98,4.97,4.99,4.92,5.31
17684,558701020298791673,17,15,1,2022-09-16,2023-12-04,4.71,4.94,4.82,4.88,4.76,4.82,4.41,1.09
17685,563123180668016956,50,21,0,2022-03-03,2023-11-21,4.9,4.94,4.86,4.94,4.84,4.96,4.94,2.25
17686,558733598756233210,29,4,0,2022-02-13,2023-02-23,4.76,4.9,4.83,4.93,4.66,4.86,4.66,1.28
17687,558771054860208113,0,0,0,,,,,,,,,,
17688,565729712113559589,6,3,1,2022-04-13,2023-12-18,5.0,5.0,5.0,5.0,4.83,5.0,4.67,0.29
17689,563153269337020318,7,4,0,2022-03-01,2023-11-20,5.0,4.86,5.0,5.0,5.0,4.57,5.0,0.31
17690,563154737058207647,5,2,0,2022-02-27,2023-02-20,5.0,5.0,5.0,5.0,5.0,4.8,5.0,0.22
17691,563176267152777179,47,25,0,2022-04-17,2023-11-22,4.77,4.83,4.98,4.87,4.94,4.98,4.64,2.28
17692,565762446660926735,3,3,1,2023-04-22,2023-11-28,5.0,4.67,5.0,4.67,5.0,4.67,4.67,0.36
17693,565764717028011527,5,5,0,2023-01-22,2023-08-08,4.6,4.8,4.4,5.0,5.0,5.0,4.6,0.44
17694,558779643056964136,30,21,2,2022-09-04,2023-12-17,4.97,4.97,5.0,5.0,4.97,4.93,4.9,1.88
17695,558788592971637312,70,47,2,2022-03-14,2023-12-18,4.91,4.97,4.89,4.94,4.91,4.93,4.87,3.21
17696,563185630484521772,3,2,0,2022-09-11,2023-02-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.19
17697,565797644012862944,6,1,0,2022-03-01,2023-01-03,5.0,4.83,5.0,5.0,5.0,5.0,4.67,0.27
17698,563189034608449881,2,1,0,2022-03-01,2023-02-27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09
17699,565908964526528586,1,1,0,2023-01-02,2023-01-02,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.08
17700,563196147130335409,4,0,0,2022-02-20,2022-09-11,5.0,5.0,5.0,5.0,5.0,4.5,5.0,0.18
17701,563217656353300507,38,20,0,2022-02-25,2023-10-29,4.79,4.84,4.95,4.97,4.84,4.92,4.79,1.7
17702,565918154138098299,3,3,0,2023-07-10,2023-11-11,4.33,4.33,5.0,4.33,4.33,5.0,4.33,0.52
17703,558803993260153708,34,14,0,2022-03-02,2023-11-08,4.89,4.89,4.94,5.0,4.97,4.94,4.86,1.52
17704,563220835893790941,16,11,2,2022-03-05,2023-12-11,5.0,5.0,4.81,4.94,5.0,4.94,4.69,0.73
17705,558822757099861243,60,32,0,2022-03-03,2023-11-22,4.83,4.75,4.77,4.9,4.97,4.92,4.62,2.71
17706,559234320509429895,7,3,0,2022-04-18,2023-03-12,5.0,5.0,4.57,5.0,5.0,5.0,5.0,0.34
17707,565943039508020513,4,4,1,2023-03-31,2023-12-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.44
17708,563530637283766379,4,1,0,2022-03-02,2023-02-22,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0.18
17709,563531698728855799,8,1,0,2022-03-04,2023-01-02,4.75,4.88,5.0,4.88,5.0,5.0,4.75,0.36
17710,565963370055150937,58,28,2,2022-02-28,2023-12-09,5.0,5.0,4.9,4.98,4.98,5.0,5.0,2.59
17711,559254291652493703,24,11,0,2022-02-18,2023-10-20,4.67,4.75,4.79,4.79,4.83,4.79,4.67,1.06
17712,563550108693260035,64,32,4,2022-03-21,2023-12-18,4.75,4.72,4.75,4.98,4.95,4.89,4.72,2.97
17713,563554949366650042,14,7,0,2022-02-28,2023-11-20,5.0,4.93,4.93,4.93,4.93,4.93,4.93,0.63
17714,559437367789966887,25,15,1,2022-04-18,2023-12-01,4.72,4.8,4.72,4.88,4.76,4.92,4.64,1.21
17715,565976223544377239,23,10,0,2022-03-03,2023-11-12,4.88,4.92,4.79,4.88,4.92,4.92,4.75,1.03
17716,563618545644888382,20,18,0,2022-03-01,2023-11-05,4.95,5.0,4.9,4.95,5.0,4.95,4.86,0.9
17717,565998606933507884,94,43,3,2022-02-25,2023-12-22,4.85,4.77,4.71,4.96,4.89,4.89,4.77,4.21
17718,563675948127149827,15,9,0,2022-03-01,2023-11-05,4.88,4.94,4.88,5.0,4.75,5.0,4.81,0.67
17719,566007051200947334,5,0,0,2022-04-20,2022-10-16,4.4,4.2,4.4,4.8,4.4,5.0,4.2,0.24
17720,563687871756606800,7,2,0,2022-04-10,2023-04-01,4.29,4.43,4.0,4.86,4.86,4.86,4.57,0.34
17721,559456184149832988,38,21,2,2022-04-27,2023-12-24,4.74,4.84,4.55,4.95,4.89,4.92,4.63,1.87
17722,559548983319867250,12,9,1,2022-08-14,2023-12-01,4.83,5.0,4.83,4.75,5.0,4.67,4.75,0.72
17723,563734738007121915,0,0,0,,,,,,,,,,
17724,559618810939309707,11,9,2,2022-02-22,2023-12-22,5.0,5.0,5.0,4.8,4.8,5.0,5.0,0.49
17725,566072156048878554,4,1,0,2022-03-02,2023-02-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.18
17726,563747589203033377,21,15,1,2022-09-05,2023-12-06,5.0,5.0,4.95,5.0,5.0,5.0,4.81,1.32
17727,566170802251303475,10,6,0,2022-03-01,2023-05-08,4.4,4.7,4.1,4.9,4.8,4.9,4.1,0.45
17728,559875871640792796,9,2,0,2022-03-01,2023-01-22,4.89,5.0,4.78,5.0,5.0,5.0,4.89,0.4
17729,559993891891830954,0,0,0,,,,,,,,,,
17730,560014602766482284,2,0,0,2022-09-09,2022-09-11,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.13
17731,563770448750755163,11,7,1,2022-03-25,2023-11-29,4.91,4.91,5.0,4.91,4.91,4.82,4.45,0.51
17732,560015075337535312,24,19,2,2022-08-30,2023-12-22,4.88,5.0,4.88,4.92,5.0,5.0,4.88,1.48
17733,563770611084009393,0,0,0,,,,,,,,,,
17734,563781696508559620,29,13,1,2022-02-20,2023-12-03,4.55,4.69,4.48,4.66,4.79,4.9,4.69,1.29
17735,563793279837285609,0,0,0,,,,,,,,,,
17736,560018310831471272,32,13,0,2022-02-21,2023-11-12,4.66,4.75,4.56,4.66,4.81,4.81,4.72,1.42
17737,566422890453749746,5,1,0,2022-04-24,2023-01-02,4.6,4.6,4.6,4.8,4.8,5.0,4.8,0.24
17738,566475552158029034,1,0,0,2022-03-21,2022-03-21,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05
17739,566495266643832791,1,0,0,2022-09-11,2022-09-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06
17740,563795454888571458,4,1,0,2022-03-02,2023-11-21,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0.18
17741,560258882915933321,0,0,0,,,,,,,,,,
17742,563814820408023875,61,35,2,2022-03-27,2023-12-23,4.56,4.66,4.55,4.73,4.77,4.82,4.42,2.84
17743,560286740965143313,1,0,0,2022-07-10,2022-07-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06
17744,563835832794195496,0,0,0,,,,,,,,,,
17745,563940663045847362,9,5,0,2022-09-04,2023-03-28,5.0,5.0,5.0,5.0,5.0,5.0,4.89,0.56
17746,560320452630462467,19,9,1,2022-05-18,2023-12-20,4.11,4.05,4.32,4.47,4.63,3.58,4.0,0.97
17747,566545118015073682,4,2,0,2022-09-05,2023-11-20,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.25
17748,566547255933299499,35,18,0,2022-03-02,2023-11-19,4.89,4.83,4.86,5.0,5.0,5.0,4.8,1.58
17749,564333683262352135,61,53,5,2022-10-08,2023-12-22,4.61,4.59,4.52,4.75,4.8,4.87,4.51,4.11
17750,566552089646579235,28,19,2,2022-02-28,2023-12-17,4.76,4.69,4.59,4.86,4.83,4.83,4.69,1.25
17751,560715110787558310,8,4,0,2022-03-02,2023-07-16,4.75,4.75,4.75,5.0,5.0,5.0,4.75,0.36
17752,564333792826059516,85,57,3,2022-07-11,2023-12-23,4.65,4.73,4.6,4.8,4.84,4.87,4.55,4.78
17753,560736602795482723,6,3,0,2022-03-05,2023-04-02,4.83,5.0,4.67,5.0,5.0,4.83,4.83,0.27
17754,566554475087322848,6,2,0,2022-03-01,2023-10-09,4.83,5.0,5.0,5.0,5.0,4.67,4.83,0.27
17755,564334696785108374,0,0,0,,,,,,,,,,
17756,566559070360824065,114,64,1,2022-07-10,2023-12-10,4.99,4.97,4.98,4.98,4.99,4.9,4.99,6.35
17757,560771466115336221,39,26,2,2022-03-17,2023-12-09,4.87,4.92,4.95,4.79,4.82,4.95,4.85,1.8
17758,564336895879800749,6,1,0,2022-03-02,2023-01-03,4.67,4.67,4.83,5.0,5.0,4.83,4.5,0.27
17759,564354681884385754,4,1,0,2022-03-01,2023-01-01,5.0,5.0,4.75,4.5,5.0,4.75,4.5,0.18
17760,560794868615908969,0,0,0,,,,,,,,,,
17761,566590655615111269,0,0,0,,,,,,,,,,
17762,564356537944702129,23,14,1,2022-03-05,2023-12-09,4.87,4.91,4.96,4.87,4.91,4.57,4.87,1.04
17763,564372148895467339,15,10,0,2022-02-28,2023-11-21,4.87,4.87,5.0,5.0,5.0,4.8,4.8,0.67
17764,566607063474023929,3,0,0,2022-02-27,2022-04-25,5.0,5.0,4.67,5.0,5.0,4.67,4.33,0.13
17765,566634007582767823,0,0,0,,,,,,,,,,
17766,566729564852826692,8,8,1,2023-02-21,2023-12-23,4.5,4.71,4.71,4.71,5.0,4.43,4.57,0.77
17767,560803225052928576,6,4,0,2022-04-24,2023-03-27,5.0,5.0,4.83,4.83,4.67,5.0,4.83,0.29
17768,560992755794291652,4,0,0,2022-02-28,2022-11-15,4.5,4.5,4.75,4.75,4.5,4.25,4.25,0.18
17769,564375595958998840,0,0,0,,,,,,,,,,
17770,560995210252854487,30,20,3,2022-03-16,2023-12-20,4.8,4.83,4.87,5.0,5.0,4.73,4.8,1.38
17771,564379724043378065,20,10,1,2022-03-02,2023-12-10,4.75,4.85,4.85,4.9,5.0,4.8,4.75,0.9
17772,564402761428811890,30,26,1,2022-03-01,2023-12-04,4.97,4.9,4.97,5.0,5.0,5.0,4.93,1.35
17773,561115066230339725,8,3,0,2022-02-24,2023-02-26,5.0,5.0,4.75,5.0,5.0,5.0,4.75,0.36
17774,566742631373947659,77,34,3,2022-03-01,2023-12-17,4.91,4.94,4.79,4.99,4.97,4.91,4.84,3.47
